cluster_id,top_terms,n_docs
-1,"model, figure, data, used, time, wind, 10, using, results, energy, different, based, models, et, training",1183
0,"smoke, temperature, heat, compartment, figure, timber, wood, thermal, clt, time, flux, kw, steel, wind, model",30
1,"og, er, af, det, til, på, med, der, som, en, den, kan, ikke, fra, figur",38
2,"voltage, antenna, power, converter, frequency, radar, figure, dc, signal, circuit, pcb, capacitor, design, output, coil",49
3,"hearing, speech, db, stimuli, noise, sound, participants, listening, hz, subjects, ear, snr, audio, nh, responses",30
4,"sound, acoustic, microphone, frequency, impedance, room, hz, figure, noise, db, source, pressure, frequencies, wave, model",48
5,"wave, wind, drag, blade, model, velocity, figure, airfoil, mesh, lift, turbine, vortex, force, cfd, aerodynamic",102
6,"wind, turbine, mooring, pitch, rotor, tower, speed, blade, turbines, model, floating, controller, figure, yaw, offshore",39
7,"wind, wake, lidar, turbulence, turbine, speed, velocity, rotor, figure, data, farm, turbines, height, 10, model",37
8,"corrosion, figure, samples, printing, sample, material, grain, temperature, surface, extrusion, hardness, powder, coating, specimen, mm",70
9,"model, portfolio, market, price, forecast, models, data, forecasts, forecasting, time, returns, trading, risk, figure, lstm",40
10,"damping, mode, modal, frequency, figure, hz, model, frequencies, modes, response, rotor, force, stiffness, mass, shaft",69
11,"clay, soil, concrete, figure, cement, specimens, water, rock, test, specimen, strength, porosity, temperature, chloride, ash",57
12,"co2, gas, liquid, pressure, temperature, figure, solvent, flow, model, reaction, fuel, ﬂow, mass, mixing, water",63
13,"ray, detector, figure, star, oct, optical, beam, burst, data, 10, imaging, energy, photon, laser, scattering",47
14,"crack, load, shear, figure, stress, kn, concrete, specimen, strain, mm, arch, beam, material, fatigue, mpa",78
15,"element, optimization, figure, topology, design, blade, elements, load, stiffness, mesh, beam, stress, displacement, material, constraint",33
16,"nm, figure, quantum, etch, energy, graphene, etching, thz, sample, optical, electron, raman, wafer, atoms, photon",135
17,"electrode, electrolyte, cell, electrochemical, electrodes, electrolysis, figure, membrane, cathode, impedance, reaction, voltage, fuel, conductivity, temperature",41
18,"protein, peptide, peptides, proteins, tcr, amino, mhc, model, sequences, sequence, residues, models, auc, binding, data",40
19,"algorithm, time, solution, agent, problem, model, figure, number, set, node, heuristic, agents, route, graph, scheduling",134
20,"heat, temperature, pump, heating, solar, energy, storage, district, collector, thermal, water, refrigerant, model, figure, electricity",67
21,"ice, sea, data, snow, sar, figure, greenland, satellite, radar, sentinel, model, surface, water, image, lake",50
22,"river, water, flood, discharge, data, rainfall, rain, model, figure, basin, area, et, climate, flow, infiltration",32
23,"bits, string, algorithm, data, clock, tree, compression, bit, memory, block, let, code, lemma, codes, time",43
24,"ventilation, indoor, temperature, building, air, heating, heat, energy, figure, thermal, buildings, room, comfort, model, cooling",137
25,"charging, ev, evs, power, vehicle, battery, energy, soc, vehicles, charge, grid, electric, time, smart, 00",36
26,"network, 5g, iot, devices, device, lora, data, mobile, radio, packet, power, communication, channel, figure, node",50
27,"security, attack, attacks, data, network, cyber, ip, server, malicious, web, detection, user, used, learning, client",51
28,"co2, methanol, fuel, pyrolysis, energy, biogas, biochar, production, gas, ammonia, plant, reactor, hydrogen, electricity, carbon",56
29,"data, travel, users, trips, model, mobility, car, transport, bike, app, time, road, figure, usage, urban",51
30,"model, language, models, training, text, data, dataset, tokens, word, llms, token, learning, document, words, sentence",59
31,"compiler, listing, protocol, language, code, program, message, syntax, pk, function, transaction, state, translation, int, type",37
32,"mining, event, process, data, service, cloud, architecture, api, application, model, deployment, pipeline, services, object, node",45
33,"fish, species, et, al, fishing, sea, abundance, data, marine, biomass, water, figure, north, model, waters",46
34,"water, pfas, mg, et, al, sludge, concentration, wastewater, concentrations, soil, methane, ml, ph, treatment, figure",74
35,"drug, cells, printing, cell, hydrogel, tissue, figure, printed, 3d, µm, release, alginate, culture, mm, ph",59
36,"gene, genes, cell, data, rna, expression, cells, protein, disease, samples, model, sequencing, analysis, figure, tissue",31
37,"cells, cell, il, immune, cd8, tumor, cancer, mhc, antigen, protein, expression, tcr, hla, mice, peptide",47
38,"fermentation, food, protein, acid, ph, samples, concentration, et, al, glucose, growth, content, strains, 10, water",60
39,"segmentation, image, images, training, model, data, figure, imaging, dataset, reconstruction, pet, learning, tissue, using, network",47
40,"voltage, power, converter, grid, fault, hvdc, frequency, wind, control, bus, reactive, offshore, converters, figure, current",45
41,"wind, energy, electricity, power, market, price, solar, capacity, offshore, prices, grid, renewable, pv, battery, model",92
42,"gene, genes, genome, reads, sequencing, sequences, data, abundance, samples, isolates, species, dna, plasmid, sequence, resistance",30
43,"plasmid, gene, strains, coli, strain, genes, protein, dna, expression, pcr, plasmids, enzyme, growth, cells, figure",92
44,"robot, controller, robotic, control, figure, force, object, arm, position, joint, robots, ros, model, sensor, effector",56
45,"user, users, data, design, app, ai, students, game, participants, prototype, patient, patients, figure, diabetes, time",79
46,"eeg, data, sleep, model, signal, ecg, muscle, figure, learning, patients, used, features, dataset, training, time",73
47,"camera, lidar, drone, image, navigation, sensor, imu, gnss, robot, figure, localization, position, map, kalman, data",38
48,"image, training, model, images, dataset, learning, detection, data, figure, segmentation, network, models, object, cnn, neural",108
49,"waste, recycling, emissions, food, environmental, lca, et, al, impacts, impact, data, scenario, products, eu, sustainability",68
50,"startup, startups, team, business, management, project, women, company, agile, employees, entrepreneurship, innovation, market, interviews, data",52
51,"sustainability, design, companies, circular, product, company, building, construction, business, bim, industry, project, et, process, al",58
