cluster_id,n_docs,n_distinct_publishers,publisher_entropy
-1,1183,1183,7.075808863978386
0,30,30,3.401197381662155
1,38,38,3.6375861597263857
2,49,49,3.8918202981106265
3,30,30,3.401197381662155
4,48,48,3.8712010109078907
5,102,102,4.624972813284271
6,39,39,3.6635616461296445
7,37,37,3.610917912644225
8,70,70,4.2484952420493585
9,40,40,3.6888794541139363
10,69,69,4.234106504597258
11,57,57,4.04305126783455
12,63,63,4.1431347263915335
13,47,47,3.850147601710058
14,78,78,4.356708826689594
15,33,33,3.4965075614664802
16,135,135,4.9052747784384305
17,41,41,3.713572066704308
18,40,40,3.6888794541139363
19,134,134,4.897839799950912
20,67,67,4.204692619390965
21,50,50,3.9120230054281455
22,32,32,3.4657359027997265
23,43,43,3.7612001156935624
24,137,137,4.919980925828126
25,36,36,3.5835189384561104
26,50,50,3.9120230054281455
27,51,51,3.9318256327243253
28,56,56,4.02535169073515
29,51,51,3.9318256327243253
30,59,59,4.077537443905719
31,37,37,3.610917912644225
32,45,45,3.8066624897703196
33,46,46,3.828641396489094
34,74,74,4.304065093204169
35,59,59,4.077537443905719
36,31,31,3.4339872044851463
37,47,47,3.850147601710058
38,60,60,4.0943445622220995
39,47,47,3.850147601710058
40,45,45,3.8066624897703196
41,92,92,4.5217885770490405
42,30,30,3.401197381662155
43,92,92,4.5217885770490405
44,56,56,4.02535169073515
45,79,79,4.369447852467019
46,73,73,4.29045944114839
47,38,38,3.6375861597263857
48,108,108,4.682131227124218
49,68,68,4.219507705176109
50,52,52,3.951243718581428
51,58,58,4.060443010546419
