split_ix,split_dt,rss
11,2022-09-01,8186.831631420149
9,2022-07-01,8236.164363002092
13,2022-11-01,8241.52582400397
14,2022-12-01,8257.302742451284
10,2022-08-01,8352.602389442458
12,2022-10-01,8423.251262494887
8,2022-06-01,8574.92426400814
15,2023-01-01,8591.59344051551
19,2023-05-01,8764.911905795634
20,2023-06-01,8800.485514028998
18,2023-04-01,8825.924230295088
39,2025-01-01,8856.594977262606
17,2023-03-01,8870.0485778392
16,2023-02-01,8883.713176996716
40,2025-02-01,9025.74863509455
37,2024-11-01,9085.279762443412
32,2024-06-01,9129.992860201095
21,2023-07-01,9134.172154010637
23,2023-09-01,9171.826893530704
22,2023-08-01,9173.637882800904
38,2024-12-01,9174.730619285328
35,2024-09-01,9191.90459825881
43,2025-05-01,9192.701161528865
36,2024-10-01,9194.719282131351
41,2025-03-01,9197.914572808075
31,2024-05-01,9197.968596333498
26,2023-12-01,9206.686237226528
25,2023-11-01,9207.793624106715
44,2025-06-01,9207.825376107401
42,2025-04-01,9209.828851122504
24,2023-10-01,9211.72548396364
27,2024-01-01,9215.567151921101
34,2024-08-01,9217.788419301542
33,2024-07-01,9217.859130593428
30,2024-04-01,9218.418457240186
29,2024-03-01,9218.468440421846
28,2024-02-01,9218.50195641958
