split_ix,split_dt,rss
28,2024-02-01,204.23223076804385
29,2024-03-01,206.23201963320182
30,2024-04-01,209.2163137552677
27,2024-01-01,210.21241984564307
25,2023-11-01,212.93819227078927
31,2024-05-01,213.54328700758597
26,2023-12-01,214.11734698898306
33,2024-07-01,217.10931482997196
32,2024-06-01,217.83003340846886
24,2023-10-01,218.03821638819605
23,2023-09-01,219.6606103131565
34,2024-08-01,220.27324920590718
35,2024-09-01,220.5905896272572
22,2023-08-01,222.48118894516094
37,2024-11-01,222.60285711838034
36,2024-10-01,222.6204980262133
21,2023-07-01,224.85295764319835
38,2024-12-01,226.89915998654268
20,2023-06-01,227.21327534523783
8,2022-06-01,227.286081766931
9,2022-07-01,227.39811949621327
19,2023-05-01,227.75296227195963
11,2022-09-01,227.85548229641432
10,2022-08-01,227.85655211149492
18,2023-04-01,228.4166896528895
12,2022-10-01,228.58730456722282
13,2022-11-01,228.61462917658577
17,2023-03-01,228.77720502917737
39,2025-01-01,228.87062025318428
16,2023-02-01,229.0769949843806
14,2022-12-01,229.08628305584378
15,2023-01-01,229.39402282410768
40,2025-02-01,229.87612333665317
41,2025-03-01,230.30209459110475
42,2025-04-01,230.4752296137935
44,2025-06-01,230.8308194988392
43,2025-05-01,230.99176393506403
