split_ix,split_dt,rss
8,2022-06-01,3787.929153386756
13,2022-11-01,3833.182789429344
9,2022-07-01,3915.2096152490203
10,2022-08-01,3923.9835056852885
11,2022-09-01,3973.85971010349
29,2024-03-01,3983.8320739214378
14,2022-12-01,4043.117781985181
30,2024-04-01,4045.106703304286
28,2024-02-01,4057.4566858547764
12,2022-10-01,4067.5047222327744
26,2023-12-01,4114.841299377565
15,2023-01-01,4186.567890844695
27,2024-01-01,4194.730743775031
16,2023-02-01,4227.742823194707
31,2024-05-01,4229.90646272855
17,2023-03-01,4232.083635917015
20,2023-06-01,4270.035168821058
18,2023-04-01,4277.88538706218
21,2023-07-01,4288.741957876371
19,2023-05-01,4294.80661520959
32,2024-06-01,4299.458537134162
25,2023-11-01,4316.014153677512
22,2023-08-01,4320.188266271776
33,2024-07-01,4323.544104182114
24,2023-10-01,4333.3517091613485
23,2023-09-01,4341.763320167338
34,2024-08-01,4393.373511186278
44,2025-06-01,4416.550561513621
38,2024-12-01,4417.143828445198
35,2024-09-01,4421.675022437642
36,2024-10-01,4439.459101994188
43,2025-05-01,4481.561056825722
42,2025-04-01,4496.460346975214
41,2025-03-01,4496.5922078969825
39,2025-01-01,4496.944769516051
37,2024-11-01,4497.3661033771
40,2025-02-01,4509.146482294349
