split_ix,split_dt,rss
8,2022-06-01,134.80334972187933
14,2022-12-01,137.7993829478175
20,2023-06-01,138.41351298515713
15,2023-01-01,139.47154752861707
12,2022-10-01,140.08481598015098
13,2022-11-01,140.96078837294948
24,2023-10-01,141.27391377528875
23,2023-09-01,141.34260985603106
11,2022-09-01,142.00268430727968
21,2023-07-01,142.54484138684117
22,2023-08-01,142.5536832046654
25,2023-11-01,142.67275599266242
27,2024-01-01,142.7032564244557
26,2023-12-01,143.03148891679396
19,2023-05-01,143.35172493973536
29,2024-03-01,143.77832287235066
28,2024-02-01,143.8349915620769
16,2023-02-01,143.8777136257096
9,2022-07-01,143.9894698009171
31,2024-05-01,144.22338896453684
30,2024-04-01,144.2594055465634
10,2022-08-01,144.31394008836264
36,2024-10-01,144.79215612046374
18,2023-04-01,145.24195617228852
32,2024-06-01,145.3917153703515
33,2024-07-01,145.76893589116136
17,2023-03-01,145.97304035890346
35,2024-09-01,146.24604496551416
34,2024-08-01,146.51995600408912
