split_ix,split_dt,rss
8,2022-06-01,2266.9721325800756
9,2022-07-01,2608.354898546222
12,2022-10-01,2611.289667129368
10,2022-08-01,2652.6874549248128
13,2022-11-01,2663.8606973822125
11,2022-09-01,2682.461987579285
14,2022-12-01,2752.275571333519
20,2023-06-01,2817.0267150133227
29,2024-03-01,2821.4819510762636
30,2024-04-01,2826.6571811069416
19,2023-05-01,2898.5559359703684
28,2024-02-01,2899.4372373163665
15,2023-01-01,2904.265866273015
18,2023-04-01,2913.6977436636716
17,2023-03-01,2914.5003830971064
16,2023-02-01,2915.388549660719
26,2023-12-01,2929.4672793261425
21,2023-07-01,2944.2929210365646
22,2023-08-01,2951.4933811664187
23,2023-09-01,2954.523906464872
27,2024-01-01,2956.0006948359446
31,2024-05-01,2967.736666561477
25,2023-11-01,2975.4319006140095
24,2023-10-01,2976.6184022926172
44,2025-06-01,2999.0797284460873
32,2024-06-01,3015.484681553052
34,2024-08-01,3029.870990301083
35,2024-09-01,3068.8838494433426
37,2024-11-01,3073.157489896856
33,2024-07-01,3077.799512727307
38,2024-12-01,3084.5963484628046
36,2024-10-01,3086.4507849950596
39,2025-01-01,3101.3638231932164
43,2025-05-01,3121.7591622430423
42,2025-04-01,3123.8156931983185
40,2025-02-01,3124.080568715488
41,2025-03-01,3126.557369113135
