split_ix,split_dt,rss
9,2022-07-01,521.3731632042726
8,2022-06-01,528.3917093355441
10,2022-08-01,576.7891081085268
11,2022-09-01,590.9265148884813
13,2022-11-01,603.5035947541758
12,2022-10-01,610.8835986900453
14,2022-12-01,638.415675092059
15,2023-01-01,655.4235977708157
16,2023-02-01,666.9863628943335
17,2023-03-01,674.3988322647435
18,2023-04-01,677.3939754594719
21,2023-07-01,680.1096204192627
22,2023-08-01,689.6497062598092
24,2023-10-01,691.5387867533307
20,2023-06-01,694.6554790469163
19,2023-05-01,695.0258096585319
23,2023-09-01,695.7717573194423
25,2023-11-01,701.8954134435628
39,2025-01-01,711.9111355538445
26,2023-12-01,711.9275415013565
28,2024-02-01,714.5669245302826
40,2025-02-01,715.6862413627525
27,2024-01-01,716.4563501089287
33,2024-07-01,717.4237961670015
29,2024-03-01,718.5155747991848
31,2024-05-01,720.4123356200664
30,2024-04-01,721.7953945929193
32,2024-06-01,725.1340858939977
44,2025-06-01,728.3628945282973
34,2024-08-01,730.0536374864954
37,2024-11-01,731.0860439947014
35,2024-09-01,733.6755200541874
43,2025-05-01,734.1919361492382
38,2024-12-01,734.9372578552048
36,2024-10-01,735.0904465027334
41,2025-03-01,735.9330773453999
42,2025-04-01,738.2143501928169
