split_ix,split_dt,rss
8,2022-06-01,5.2595478459194736
12,2022-10-01,5.7609912888360215
9,2022-07-01,5.825461956218157
11,2022-09-01,5.885864278407728
10,2022-08-01,5.913303080742779
13,2022-11-01,5.965513374386084
42,2025-04-01,6.111516276200563
14,2022-12-01,6.256269568772334
41,2025-03-01,6.2931041228273665
20,2023-06-01,6.344401100262662
44,2025-06-01,6.3579274883767605
43,2025-05-01,6.370317252449799
29,2024-03-01,6.372370439266194
15,2023-01-01,6.3785363254405425
16,2023-02-01,6.378652029890489
19,2023-05-01,6.3908942945950065
18,2023-04-01,6.395106515095062
17,2023-03-01,6.397661662582861
28,2024-02-01,6.401606868768598
21,2023-07-01,6.403788378767873
30,2024-04-01,6.419014657034875
22,2023-08-01,6.429752496093794
23,2023-09-01,6.443829193632768
24,2023-10-01,6.455546992075252
25,2023-11-01,6.457554887504658
26,2023-12-01,6.458375572153771
27,2024-01-01,6.4592347184337875
31,2024-05-01,6.558022378679761
36,2024-10-01,6.56325746977587
40,2025-02-01,6.567740737315295
37,2024-11-01,6.579067683110095
38,2024-12-01,6.5792642391447345
39,2025-01-01,6.579431885393041
35,2024-09-01,6.6039690792836545
32,2024-06-01,6.610110625539473
33,2024-07-01,6.628292113075242
34,2024-08-01,6.630272620908071
