split_ix,split_dt,rss
44,2025-06-01,235079903.27453196
43,2025-05-01,241949995.74407372
42,2025-04-01,246260267.8583388
37,2024-11-01,248632525.51753533
36,2024-10-01,249331115.61876583
41,2025-03-01,249663689.2739976
35,2024-09-01,251266185.07859868
34,2024-08-01,253213623.3411889
38,2024-12-01,253673467.53782594
8,2022-06-01,253714738.58652437
40,2025-02-01,255970406.70883593
39,2025-01-01,256457023.94659114
32,2024-06-01,259007889.40208495
30,2024-04-01,259092410.15025038
33,2024-07-01,260433343.52763906
31,2024-05-01,261967659.85813564
19,2023-05-01,261972685.37091234
29,2024-03-01,262031143.37725925
20,2023-06-01,262042844.14958352
26,2023-12-01,263410423.24102324
23,2023-09-01,264230812.62709233
13,2022-11-01,264714687.0544145
25,2023-11-01,264963948.27005738
28,2024-02-01,265443607.8002419
10,2022-08-01,265519329.69308776
24,2023-10-01,265524519.3913662
18,2023-04-01,265887890.7646094
22,2023-08-01,266068859.33680135
9,2022-07-01,266789242.31575468
27,2024-01-01,266917304.8952881
14,2022-12-01,267498505.33574542
21,2023-07-01,267535735.61668307
11,2022-09-01,267919930.298633
12,2022-10-01,268181088.0370433
17,2023-03-01,268483162.2032014
15,2023-01-01,270293490.95470697
16,2023-02-01,270562990.69329125
