split_ix,split_dt,rss
36,2024-10-01,1902299.3240844023
37,2024-11-01,1937212.4464241054
35,2024-09-01,1943634.4210463762
34,2024-08-01,1965777.7755246277
38,2024-12-01,2028017.705728889
32,2024-06-01,2036711.681196283
42,2025-04-01,2051362.1725926355
41,2025-03-01,2051437.8805570002
39,2025-01-01,2052633.4676615363
40,2025-02-01,2052874.4165469757
43,2025-05-01,2056757.8283952756
44,2025-06-01,2068438.592300726
33,2024-07-01,2070711.73216342
30,2024-04-01,2120871.4535151636
31,2024-05-01,2132214.0883618193
29,2024-03-01,2223205.4137214483
28,2024-02-01,2300899.556461337
13,2022-11-01,2338971.343592831
9,2022-07-01,2354673.2287791595
10,2022-08-01,2368505.1166972183
14,2022-12-01,2368904.7166364854
12,2022-10-01,2400880.8122594417
11,2022-09-01,2402537.36757906
21,2023-07-01,2414370.8543838263
22,2023-08-01,2419492.720958839
15,2023-01-01,2425797.0991245545
20,2023-06-01,2426958.7149071656
16,2023-02-01,2428094.775375284
19,2023-05-01,2428324.881356846
17,2023-03-01,2430952.110645074
18,2023-04-01,2431660.511851118
23,2023-09-01,2434678.3705150853
27,2024-01-01,2440458.713938102
24,2023-10-01,2440941.2098255754
26,2023-12-01,2441267.7276637247
8,2022-06-01,2443555.519646109
25,2023-11-01,2449382.1196702295
