period_dt,thesis_count,lexical_diversity_mean,lexical_diversity_median,lexical_diversity_std,avg_sentence_length_mean,avg_sentence_length_median,avg_sentence_length_std,avg_word_length_mean,avg_word_length_median,avg_word_length_std,total_words_mean,total_words_median,total_words_std,unique_words_mean,unique_words_median,unique_words_std,grading_total_score_mean,grading_total_score_median,grading_total_score_std,num_references_mean,num_references_median,num_references_std,equation_count_mean,equation_count_median,equation_count_std,num_figures_mean,num_figures_median,num_figures_std,num_tables_mean,num_tables_median,num_tables_std,refs_per_1000_words_mean,refs_per_1000_words_median,refs_per_1000_words_std,figures_per_100_pages_mean,figures_per_100_pages_median,figures_per_100_pages_std,equations_per_1000_words_mean,equations_per_1000_words_median,equations_per_1000_words_std,Department_new
2022-01-01,25,0.1838,0.184,0.03629393888791901,21.9544,21.7,4.112079846825286,4.9516,4.95,0.17131063403459,13483.4,12797.0,6558.629372818683,2311.6,2104.0,751.2736962430314,77.08,76.0,5.971599450733448,57.2,48.0,32.03903868720158,24.48,16.0,23.574562562219473,17.48,15.0,11.25137028691765,5.8,5.0,4.839077046985992,4.620310741068199,4.338698390482856,2.5702521365024,33.802652026309694,32.14285714285714,14.618777124969816,1.909638762868134,1.4498201149116683,2.018114595801208,DTU Aqua
2022-02-01,2,0.1895,0.1895,0.040305086527633205,23.845,23.845,0.23334523779156324,5.215,5.215,0.007071067811865324,11660.5,11660.5,2297.389932075093,2159.5,2159.5,36.062445840513924,80.0,80.0,4.242640687119285,90.5,90.5,16.263455967290593,14.5,14.5,17.67766952966369,24.0,24.0,25.45584412271571,1.0,1.0,1.4142135623730951,8.054983992140901,8.054983992140901,2.9817670849329914,41.569086651053865,41.569086651053865,38.58451522633854,1.1158249571396193,1.1158249571396193,1.2961866564189362,DTU Aqua
2022-03-01,3,0.17200000000000001,0.164,0.025942243542145693,25.060000000000002,23.7,3.5510139397079232,4.946666666666666,4.91,0.13868429375143113,14103.333333333334,14171.0,3792.9527196279855,2374.6666666666665,2133.0,482.27827375212894,82.66666666666667,83.0,1.5275252316519463,90.66666666666667,102.0,34.42867022313428,25.666666666666668,21.0,14.571661996262929,31.333333333333332,25.0,29.022979401386987,9.666666666666666,7.0,9.291573243177568,6.733581444774501,6.606203112753332,3.1297494785606514,40.71969696969697,28.40909090909091,30.077880430385598,1.9303279990643016,2.043397878758393,1.0943958249326649,DTU Aqua
2022-04-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-05-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-06-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-07-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-08-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-09-01,1,0.144,0.144,,21.54,21.54,,4.93,4.93,,14261.0,14261.0,,2056.0,2056.0,,80.0,80.0,,92.0,92.0,,6.0,6.0,,29.0,29.0,,1.0,1.0,,6.451160507678284,6.451160507678284,,35.36585365853659,35.36585365853659,,0.4207278591964098,0.4207278591964098,,DTU Aqua
2022-10-01,1,0.142,0.142,,26.13,26.13,,4.88,4.88,,23023.0,23023.0,,3269.0,3269.0,,80.0,80.0,,100.0,100.0,,13.0,13.0,,39.0,39.0,,13.0,13.0,,4.34348260435217,4.34348260435217,,42.391304347826086,42.391304347826086,,0.564652738565782,0.564652738565782,,DTU Aqua
2022-11-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
2022-12-01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTU Aqua
