metric,mannwhitney_u_stat,mannwhitney_p,n_pre,n_post
lexical_diversity,1809906.0,9.229381121023583e-25,1862,2381
avg_sentence_length,2127705.5,0.024592055909138388,1862,2381
avg_word_length,1437120.5,2.6830925148920716e-86,1862,2381
total_words,2303224.5,0.02890237360925683,1862,2381
unique_words,1986875.0,6.463154957701078e-09,1862,2381
grading_total_score,1623225.5,0.046481028479843624,1855,1819
num_references,2121342.5,0.0068793333761989475,1869,2385
equation_count,2278473.0,0.16872706726268916,1868,2381
num_figures,2288746.5,0.13145372996051102,1869,2385
num_tables,2225905.0,0.9422282033370092,1869,2385
